Time,OriginVertihub,OriginVertiport,DestinationVertihub,DestinationVertiport
0,11,38,5,128
60,1,137,11,83
60,5,119,11,38
60,0,124,9,49
0,5,67,6,88
0,5,128,11,38
60,8,59,2,87
0,11,39,8,57
0,5,140,0,25
0,9,100,3,58
0,0,41,6,6
60,6,143,1,155
0,5,97,0,91
60,3,9,9,36
0,11,121,2,87
60,1,103,6,143
60,1,138,6,40
0,11,76,5,63
0,5,54,3,127
60,11,86,1,118
60,2,10,11,130
60,5,51,11,21
60,1,118,5,78
60,5,67,9,148
0,11,48,1,1
60,11,93,5,102
0,10,141,11,62
0,11,39,5,26
60,6,143,1,64
0,5,140,0,124
0,1,96,5,32
0,5,144,6,29
0,5,54,11,21
60,11,93,1,1
0,1,1,5,26
0,5,67,1,56
60,6,88,1,138
0,5,51,6,88
0,5,37,11,33
0,5,11,11,76
60,1,134,5,135
0,11,21,5,11
60,5,37,11,76
0,11,38,5,11
60,11,130,5,114
60,10,141,11,62
60,5,128,11,130
60,3,58,9,100
0,5,54,3,90
0,5,135,1,56
0,1,118,5,135
0,1,137,11,86
0,11,145,2,126
0,0,157,5,51
0,7,77,11,62
0,11,39,5,115
0,5,32,6,150
0,11,93,5,26
60,1,137,5,102
60,2,87,11,121
60,11,38,5,97
60,1,16,6,27
60,1,103,10,141
0,11,93,1,1
0,9,148,3,98
0,11,121,2,87
60,5,63,11,38
0,11,20,7,109
0,10,68,1,47
60,11,38,1,118
60,3,98,5,114
0,8,153,2,10
60,1,134,11,93
0,1,1,5,135
0,6,29,9,148
0,11,38,5,37
60,11,38,5,144
60,1,137,11,83
0,5,32,3,35
60,10,141,1,47
60,6,152,5,32
0,5,17,1,96
60,9,148,3,19
60,6,40,1,64
0,11,93,5,102
60,11,93,3,31
60,1,46,11,117
60,6,152,5,51
60,5,128,11,76
60,5,11,11,76
60,11,93,5,37
60,1,64,6,143
0,6,27,1,138
60,5,135,11,93
0,1,56,6,29
60,6,88,5,140
60,6,81,5,140
60,5,102,11,38
60,5,128,11,130
0,1,118,5,78
60,6,27,5,67
0,11,38,5,11
0,0,41,6,81
0,6,156,1,138
60,3,90,9,95
0,9,112,6,29
60,6,44,0,157
60,6,143,1,64
0,11,62,10,14
60,10,142,1,47
60,5,78,11,93
0,3,84,5,51
