Time,OriginVertihub,OriginVertiport,DestinationVertihub,DestinationVertiport
0,27,38,27,128
0,9,18,9,99
60,0,92,19,24
60,18,137,18,83
60,12,119,27,38
60,30,124,13,49
60,27,63,12,61
0,29,67,2,88
60,12,0,27,128
0,27,128,27,38
60,4,59,16,87
0,0,39,4,57
60,27,128,27,128
0,29,140,30,25
0,22,100,6,58
0,1,41,20,6
0,12,144,8,102
60,27,37,8,102
60,7,143,15,155
60,2,150,2,150
0,27,93,27,38
60,12,114,29,17
60,27,128,12,114
60,16,82,16,126
0,12,97,1,91
0,29,96,29,96
0,15,5,15,155
0,4,59,23,146
60,6,9,22,36
0,19,121,16,87
0,0,4,0,39
60,15,40,2,27
60,5,14,5,141
0,30,157,30,157
0,29,140,24,7
0,16,87,11,116
0,5,103,15,155
60,3,110,3,110
60,5,103,7,143
0,21,69,3,72
60,30,2,30,124
60,15,138,15,40
0,27,63,27,128
0,0,86,0,86
0,27,76,27,63
0,12,54,9,127
60,12,114,12,119
60,0,86,8,118
60,19,145,27,38
0,11,42,11,116
60,16,10,27,130
0,8,48,18,83
60,29,51,27,21
60,29,134,15,16
60,27,130,27,38
60,8,118,8,78
60,29,67,24,148
0,8,48,8,1
0,6,58,6,58
60,10,60,10,60
0,27,63,27,11
60,22,100,22,13
60,12,114,29,51
0,0,86,0,86
60,27,93,8,102
0,11,42,11,116
0,24,19,9,98
0,5,141,18,62
0,0,39,8,26
60,7,143,15,64
0,15,155,8,1
0,29,140,30,124
0,27,38,27,38
60,29,67,12,119
60,18,83,18,62
0,27,38,27,38
0,29,96,29,32
0,12,144,2,29
0,12,54,27,21
0,27,130,0,158
60,27,93,8,1
60,29,67,12,144
0,8,1,8,26
0,0,86,27,130
0,30,124,30,124
0,29,67,29,56
0,8,78,12,147
60,2,88,15,138
0,29,51,2,88
0,30,157,30,124
60,8,78,29,135
60,0,117,0,4
60,20,44,20,44
60,18,137,8,1
0,27,37,18,33
0,27,11,27,76
60,15,16,15,16
60,29,134,29,135
0,27,21,27,11
60,27,21,27,38
0,5,47,5,47
60,27,37,27,76
60,8,1,5,103
0,24,90,24,90
0,27,38,27,11
60,15,16,15,5
60,27,11,12,147
0,27,38,27,130
60,27,130,12,114
60,5,141,18,62
60,27,76,27,21
60,27,128,27,130
60,6,58,22,100
0,27,128,27,128
0,12,54,24,90
0,29,135,29,56
60,29,67,29,135
60,12,97,29,32
0,27,37,8,26
0,8,118,29,135
0,18,137,0,86
60,12,119,12,147
0,19,145,16,126
60,15,155,15,138
60,18,137,8,1
0,15,5,15,5
0,30,157,29,51
0,10,77,18,62
0,0,39,12,115
0,0,39,27,38
0,29,32,2,150
60,5,89,5,89
0,27,93,8,26
0,27,76,27,38
60,27,38,0,4
0,18,83,19,45
60,0,39,27,76
60,9,99,9,127
0,6,9,28,75
60,18,154,18,33
60,18,137,8,102
60,16,87,19,121
0,27,76,27,76
0,12,144,12,144
60,27,38,12,97
60,15,66,8,118
60,29,32,12,97
60,15,16,2,27
0,27,63,27,128
60,29,140,29,51
0,20,123,7,65
60,0,4,27,38
60,12,119,12,119
60,5,103,5,141
60,19,45,0,4
0,27,93,8,1
