Time,OriginVertihub,OriginVertiport,DestinationVertihub,DestinationVertiport
240,11,96,11,134
240,0,87,0,87
0,3,38,3,128
180,1,131,6,124
240,8,5,4,141
180,7,75,7,31
0,9,18,7,99
60,14,92,14,24
240,3,97,9,67
240,3,76,3,117
60,4,137,14,83
120,15,110,15,72
60,9,119,3,38
120,3,38,3,128
120,9,144,9,144
60,6,124,1,49
240,3,128,3,38
60,3,63,3,61
180,11,155,3,38
0,9,67,1,88
120,12,12,12,60
240,14,4,14,92
60,9,0,3,128
0,3,128,3,38
240,14,24,14,86
180,9,90,1,19
60,5,59,0,87
240,14,154,14,154
120,11,17,11,17
180,8,64,4,103
180,6,124,6,157
120,4,137,3,48
180,6,41,6,157
120,11,118,11,56
120,6,157,6,122
120,11,96,3,26
180,7,127,7,53
0,14,39,5,57
60,3,128,3,128
120,9,7,9,144
0,11,140,6,25
180,8,5,10,120
0,13,100,7,58
0,6,41,1,6
180,7,99,7,99
120,4,89,4,46
0,9,144,3,102
240,3,117,14,4
180,11,78,9,67
240,3,38,14,39
240,2,142,2,142
240,3,38,11,78
180,4,46,4,103
60,3,37,3,102
180,9,32,1,88
240,4,137,14,154
120,3,38,14,145
240,11,96,3,97
180,11,51,8,27
60,8,143,11,155
60,1,150,1,150
240,8,5,8,156
240,3,102,11,96
0,3,93,3,38
60,3,114,11,17
60,3,128,3,114
60,5,82,0,126
0,3,97,6,91
180,3,48,11,1
240,14,83,3,48
180,6,124,1,6
120,9,115,3,37
0,11,96,11,96
120,11,118,11,118
0,8,5,11,155
180,4,47,3,48
120,11,96,9,0
0,5,59,5,146
120,3,76,3,128
240,9,67,9,115
60,7,9,13,36
240,3,38,3,76
0,0,121,0,87
240,14,62,0,109
0,14,4,14,39
60,8,40,8,27
120,3,38,3,117
60,4,14,4,141
240,7,31,7,75
240,8,40,1,88
180,9,18,7,53
180,9,67,14,39
180,9,115,9,119
240,11,66,8,64
180,3,128,3,128
240,9,7,9,7
180,3,38,3,128
0,6,157,6,157
120,3,130,3,38
180,4,46,4,47
240,3,102,3,21
120,11,118,11,66
180,11,1,11,16
240,7,99,7,99
120,1,81,8,40
180,7,99,7,99
240,3,102,11,1
0,11,140,9,7
120,3,128,3,128
0,0,87,0,116
0,4,103,11,155
120,1,88,1,29
60,15,110,15,110
60,4,103,8,143
0,15,69,15,72
180,9,32,1,29
240,3,38,3,38
120,11,134,11,1
60,6,2,6,124
60,11,138,8,40
0,3,63,3,128
120,11,56,11,96
0,14,86,14,86
120,14,4,3,21
0,3,76,3,63
120,0,116,4,46
240,9,115,9,84
180,3,38,3,102
120,14,108,3,38
120,11,51,3,11
0,9,54,7,127
240,12,12,0,42
60,3,114,9,119
120,4,47,4,46
180,11,155,4,137
60,14,86,11,118
60,14,145,3,38
240,3,61,9,18
0,0,42,0,116
240,11,138,8,27
60,0,10,3,130
180,11,66,3,48
120,6,157,6,157
0,3,48,14,83
240,11,78,11,78
120,7,99,7,99
60,11,51,3,21
240,11,135,3,61
180,8,156,8,5
60,11,134,11,16
60,3,130,3,38
240,6,157,6,41
60,11,118,11,78
180,3,76,3,76
120,3,38,3,63
60,9,67,1,148
0,3,48,11,1
0,7,58,7,58
120,12,94,12,77
60,12,60,12,60
0,3,63,3,11
180,3,38,11,78
60,13,100,13,13
120,14,24,3,117
240,3,128,3,128
240,3,97,3,11
120,9,0,3,26
60,3,114,11,51
0,14,86,14,86
60,3,93,3,102
0,0,42,0,116
180,14,145,4,47
180,3,38,3,128
120,3,97,11,78
240,4,103,14,33
180,3,128,3,128
0,1,19,9,98
0,4,141,14,62
0,14,39,3,26
60,8,143,8,64
240,3,128,3,114
180,8,152,11,56
120,13,52,6,157
