Time,OriginVertihub,OriginVertiport,DestinationVertihub,DestinationVertiport
240,29,96,29,134
240,16,87,16,87
0,27,38,27,128
180,1,131,30,124
300,12,114,27,128
240,15,5,5,141
420,30,124,30,157
360,27,21,27,38
180,28,75,28,31
420,8,102,29,135
0,9,18,9,99
300,15,138,8,78
60,0,92,19,24
240,12,97,29,67
240,27,76,0,117
60,18,137,18,83
360,10,60,19,45
120,3,110,3,72
420,27,76,27,93
360,12,147,27,38
60,12,119,27,38
120,27,38,27,128
420,23,146,4,59
120,12,144,12,144
300,27,37,27,93
420,12,119,12,115
60,30,124,13,49
240,27,128,27,38
60,27,63,12,61
180,15,155,27,38
420,8,1,29,56
420,29,51,2,88
0,29,67,2,88
120,10,12,10,60
240,0,4,0,92
60,12,0,27,128
0,27,128,27,38
480,12,0,12,147
240,19,24,0,86
180,24,90,24,19
480,29,134,15,66
480,8,78,8,102
60,4,59,16,87
420,8,26,18,33
420,27,93,27,93
240,18,154,18,154
120,29,17,29,17
180,15,64,5,103
420,8,118,27,21
180,30,124,30,157
120,18,137,8,48
180,1,41,30,157
360,27,76,27,38
300,5,89,8,102
480,0,39,0,4
120,8,118,29,56
120,30,157,17,122
480,9,98,9,18
120,29,96,8,26
180,9,127,9,53
0,0,39,4,57
360,16,126,0,108
60,27,128,27,128
480,24,90,13,95
480,29,134,15,66
360,9,127,9,53
300,5,103,5,103
120,24,7,12,144
420,29,67,29,67
0,29,140,30,25
480,15,64,15,138
180,15,5,7,120
0,22,100,6,58
360,12,147,27,11
0,1,41,20,6
180,9,99,9,99
360,12,0,12,114
120,5,89,5,46
420,28,31,9,99
300,27,37,12,114
0,12,144,8,102
300,22,13,22,71
480,27,38,27,38
240,0,117,0,4
480,8,118,8,102
180,8,78,29,67
420,27,21,27,38
240,27,38,0,39
240,26,142,26,142
240,27,38,8,78
180,5,46,5,103
300,29,56,0,158
300,27,38,27,38
60,27,37,8,102
360,12,115,12,0
420,27,38,0,92
180,29,32,2,88
480,29,32,8,102
240,18,137,18,154
120,27,38,19,145
300,26,142,5,141
240,29,96,12,97
480,27,128,27,76
180,29,51,2,27
420,24,148,30,79
360,30,25,30,157
60,7,143,15,155
300,15,66,8,118
60,2,150,2,150
240,15,5,15,156
360,1,91,30,157
240,8,102,29,96
420,30,124,30,124
0,27,93,27,38
60,12,114,29,17
300,15,5,15,16
300,12,144,12,97
360,9,98,12,54
60,27,128,12,114
60,16,82,16,126
480,11,116,19,24
480,13,52,30,157
0,12,97,1,91
180,8,48,8,1
420,15,40,15,138
240,18,83,8,48
180,30,124,20,6
120,12,115,27,37
360,29,51,27,38
0,29,96,29,96
120,8,118,8,118
0,15,5,15,155
180,5,47,8,48
420,9,99,28,75
120,29,96,12,0
0,4,59,23,146
120,27,76,27,128
480,12,97,29,135
240,29,67,12,115
60,6,9,22,36
240,27,38,27,76
0,19,121,16,87
240,18,62,19,109
360,5,89,5,89
420,12,144,13,112
0,0,4,0,39
60,15,40,2,27
120,27,38,0,117
300,27,128,27,11
60,5,14,5,141
240,28,31,28,75
360,29,135,27,11
480,29,134,8,26
300,5,47,26,142
240,15,40,2,88
180,9,18,9,53
300,9,53,28,31
480,5,89,8,1
480,27,38,27,130
360,8,102,18,62
300,27,38,27,130
300,27,38,27,128
420,5,47,5,47
300,0,117,27,38
180,29,67,0,39
480,9,98,9,18
420,8,102,29,17
180,12,115,12,119
240,15,66,15,64
180,27,128,27,128
420,16,87,4,59
240,24,7,24,7
180,27,38,27,128
420,15,64,5,103
480,16,82,23,106
0,30,157,30,157
360,8,78,29,96
480,27,38,27,38
420,15,66,15,66
360,0,4,19,45
420,25,68,25,68
120,27,130,27,38
180,5,46,5,47
300,12,144,27,63
240,8,102,27,21
420,5,47,18,137
120,8,118,15,66
180,8,1,15,16
240,9,99,9,99
120,20,81,15,40
420,29,96,29,56
360,9,99,12,115
300,8,48,8,1
180,9,99,9,99
240,8,102,8,1
480,13,112,13,52
300,13,113,22,13
0,29,140,24,7
480,2,88,2,88
480,27,38,27,38
300,15,5,15,40
120,27,128,27,128
0,16,87,11,116
0,5,103,15,155
120,2,88,2,29
60,3,110,3,110
360,9,99,9,99
60,5,103,7,143
0,21,69,3,72
180,29,32,2,29
240,27,38,27,38
120,29,134,8,1
420,6,58,28,75
60,30,2,30,124
60,15,138,15,40
0,27,63,27,128
120,29,56,29,96
0,0,86,0,86
120,0,4,27,21
0,27,76,27,63
420,0,4,0,92
300,30,157,30,157
120,11,116,5,46
420,1,41,20,44
420,8,118,29,51
420,5,47,5,47
240,12,115,24,84
180,27,38,8,102
360,30,124,1,91
120,0,108,27,38
120,29,51,27,11
0,12,54,9,127
240,10,12,11,42
300,27,128,12,119
300,27,38,27,76
300,19,24,27,38
60,12,114,12,119
120,5,47,5,46
360,19,145,27,38
180,15,155,18,137
360,8,1,18,62
60,0,86,8,118
420,15,5,15,64
360,19,121,19,24
60,19,145,27,38
240,12,61,9,18
360,22,36,6,159
420,15,16,0,158
480,0,39,0,108
0,11,42,11,116
300,16,87,16,10
240,15,138,2,27
60,16,10,27,130
420,15,155,8,48
360,29,51,29,51
180,15,66,8,48
120,30,157,30,157
0,8,48,18,83
420,12,144,27,11
480,20,44,20,44
420,16,55,16,126
420,15,40,15,64
240,8,78,8,78
120,9,99,9,99
60,29,51,27,21
300,15,66,29,17
420,29,56,27,21
240,29,135,12,61
180,15,156,15,5
300,15,64,25,68
60,29,134,15,16
60,27,130,27,38
240,30,157,1,41
60,8,118,8,78
180,27,76,27,76
420,19,73,16,10
480,27,63,12,0
120,27,38,27,63
300,13,52,22,13
60,29,67,24,148
480,10,60,10,60
0,8,48,8,1
0,6,58,6,58
120,31,94,10,77
60,10,60,10,60
0,27,63,27,11
180,27,38,8,78
60,22,100,22,13
120,19,24,0,117
300,0,117,27,38
240,27,128,27,128
240,12,97,27,11
120,12,0,8,26
480,27,128,12,114
60,12,114,29,51
360,20,44,20,104
480,10,60,10,60
360,27,37,27,37
0,0,86,0,86
