Time,OriginVertihub,OriginVertiport,DestinationVertihub,DestinationVertiport
0,3,38,3,128
0,9,18,7,99
60,14,92,14,24
60,4,137,14,83
60,9,119,3,38
60,6,124,1,49
60,3,63,3,61
0,9,67,1,88
60,9,0,3,128
0,3,128,3,38
60,5,59,0,87
0,14,39,5,57
60,3,128,3,128
0,11,140,6,25
0,13,100,7,58
0,6,41,1,6
0,9,144,3,102
60,3,37,3,102
60,8,143,11,155
60,1,150,1,150
0,3,93,3,38
60,3,114,11,17
60,3,128,3,114
60,5,82,0,126
0,3,97,6,91
0,11,96,11,96
0,8,5,11,155
0,5,59,5,146
60,7,9,13,36
0,0,121,0,87
0,14,4,14,39
60,8,40,8,27
60,4,14,4,141
0,6,157,6,157
0,11,140,9,7
0,0,87,0,116
0,4,103,11,155
60,15,110,15,110
60,4,103,8,143
0,15,69,15,72
60,6,2,6,124
60,11,138,8,40
0,3,63,3,128
0,14,86,14,86
0,3,76,3,63
0,9,54,7,127
60,3,114,9,119
60,14,86,11,118
60,14,145,3,38
0,0,42,0,116
60,0,10,3,130
0,3,48,14,83
60,11,51,3,21
60,11,134,11,16
60,3,130,3,38
60,11,118,11,78
60,9,67,1,148
0,3,48,11,1
0,7,58,7,58
60,12,60,12,60
0,3,63,3,11
60,13,100,13,13
60,3,114,11,51
0,14,86,14,86
60,3,93,3,102
0,0,42,0,116
0,1,19,9,98
0,4,141,14,62
0,14,39,3,26
60,8,143,8,64
0,11,155,11,1
0,11,140,6,124
0,3,38,3,38
60,9,67,9,119
60,14,83,14,62
0,3,38,3,38
0,11,96,9,32
0,9,144,1,29
0,9,54,3,21
0,3,130,14,158
60,3,93,11,1
60,9,67,9,144
0,11,1,3,26
0,14,86,3,130
0,6,124,6,124
0,9,67,11,56
0,11,78,3,147
60,1,88,11,138
0,11,51,1,88
0,6,157,6,124
60,11,78,11,135
60,3,117,14,4
60,10,44,10,44
60,4,137,11,1
0,3,37,14,33
0,3,11,3,76
60,11,16,11,16
60,11,134,11,135
0,3,21,3,11
60,3,21,3,38
0,4,47,4,47
60,3,37,3,76
60,11,1,4,103
0,9,90,9,90
0,3,38,3,11
60,11,16,8,5
60,3,11,3,147
0,3,38,3,130
60,3,130,3,114
60,4,141,14,62
60,3,76,3,21
60,3,128,3,130
60,7,58,13,100
0,3,128,3,128
0,9,54,9,90
0,11,135,11,56
60,9,67,11,135
60,3,97,9,32
0,3,37,3,26
0,11,118,11,135
0,4,137,14,86
60,9,119,3,147
0,14,145,0,126
60,11,155,11,138
60,4,137,11,1
0,8,5,8,5
0,6,157,11,51
0,12,77,14,62
0,14,39,9,115
0,14,39,3,38
0,9,32,1,150
60,4,89,4,89
0,3,93,3,26
0,3,76,3,38
60,3,38,14,4
0,14,83,14,45
60,14,39,3,76
60,7,99,7,127
0,7,9,7,75
60,14,154,14,33
60,4,137,3,102
60,0,87,0,121
0,3,76,3,76
0,9,144,9,144
60,3,38,3,97
60,11,66,11,118
60,9,32,3,97
60,11,16,8,27
0,3,63,3,128
60,11,140,11,51
0,8,123,8,65
60,14,4,3,38
60,9,119,9,119
60,4,103,4,141
60,14,45,14,4
0,3,93,11,1
0,3,11,3,37
0,14,4,3,117
60,11,66,8,5
0,1,148,9,98
0,0,121,0,87
60,3,63,3,38
60,8,64,11,155
0,14,4,3,21
60,9,144,9,54
0,14,145,14,33
60,8,152,8,104
0,14,20,0,109
60,6,2,6,2
60,9,18,9,35
0,2,68,4,47
60,14,39,3,38
60,3,38,11,118
60,14,108,3,38
60,9,98,3,114
60,0,73,0,73
60,8,143,8,156
0,5,153,0,10
0,11,118,4,137
60,11,134,3,93
0,11,1,11,66
0,11,1,11,135
0,1,29,1,148
0,3,38,3,37
60,9,67,11,135
60,3,38,3,38
0,11,66,4,89
60,3,38,9,144
60,3,97,9,144
60,3,147,3,97
60,3,21,3,93
60,4,137,14,83
0,9,32,9,35
0,6,157,6,124
60,4,141,4,47
60,8,152,9,32
0,11,17,11,96
0,5,82,5,82
0,0,121,0,121
0,3,11,3,102
0,15,110,2,30
0,3,128,3,11
60,14,83,14,83
60,3,38,3,38
60,9,90,9,98
60,1,148,1,19
0,11,51,3,37
60,8,40,8,64
0,8,5,11,118
0,3,38,3,38
0,3,93,3,102
60,4,89,11,118
0,3,61,3,97
60,3,93,7,31
0,3,38,14,39
60,4,46,3,117
60,8,152,11,51
0,4,103,4,89
60,3,128,3,76
60,3,11,3,76
0,11,118,11,16
60,3,93,3,37
60,6,91,6,2
60,8,64,8,143
0,3,128,3,128
60,6,122,6,124
60,1,95,13,52
0,8,27,11,138
0,3,128,3,128
60,11,135,3,93
0,11,56,1,29
60,13,36,13,36
60,1,88,11,140
60,1,81,11,140
0,0,121,14,45
60,14,4,14,154
60,3,102,3,38
60,3,128,3,130
0,3,38,3,21
0,11,118,11,78
60,8,27,9,67
0,3,38,3,11
0,6,41,1,81
0,8,156,11,138
0,9,18,9,98
60,9,90,1,95
0,1,112,1,29
60,10,44,6,157
60,9,32,11,135
0,3,37,3,102
0,11,66,11,66
60,14,62,14,83
60,8,40,8,152
60,7,31,7,99
0,11,56,11,96
60,8,143,8,64
0,14,62,4,14
60,15,69,15,110
60,2,142,4,47
60,11,78,3,93
0,8,64,11,66
0,9,84,11,51
0,4,89,11,66
60,3,37,9,115
60,9,18,9,18
0,7,127,7,99
0,1,29,6,41
60,4,137,11,118
60,11,118,11,134
60,3,102,3,26
60,9,90,9,98
60,3,76,3,147
0,14,45,14,158
60,0,73,0,73
60,3,37,3,102
60,11,140,11,96
0,3,128,3,117
0,11,118,14,33
0,11,118,11,1
0,3,38,11,16
0,9,119,9,144
60,14,33,14,33
60,11,135,11,51
60,3,97,3,11
60,11,134,11,118
0,9,90,9,54
60,11,138,11,138
0,4,141,11,118
60,11,135,11,155
0,9,0,9,119
0,9,7,1,150
0,3,38,3,114
0,1,148,9,90
0,3,21,14,86
60,3,128,3,97
0,12,149,4,47
0,4,137,4,47
60,4,89,11,16
60,3,37,3,37
60,3,26,11,17
0,12,133,12,133
0,14,92,14,145
0,11,16,4,46
0,14,4,14,45
0,8,40,11,56
0,3,11,3,37
